127.0.0.1 - - [12/Apr/2017:12:50:15 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:50:16 -0400] "GET /RememberPasswordWithJSPServlet/eventtype.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:50:17 -0400] "GET /RememberPasswordWithJSPServlet/eventmetadata.jsp HTTP/1.1" 200 3334
0:0:0:0:0:0:0:1 - - [12/Apr/2017:12:50:17 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:21:55 -0400] "GET /RememberPasswordWithJSPServlet/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:21:56 -0400] "GET /RememberPasswordWithJSPServlet/AccountController HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:21:56 -0400] "GET /RememberPasswordWithJSPServlet/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:22:08 -0400] "POST /RememberPasswordWithJSPServlet/AccountController HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:22:08 -0400] "GET /RememberPasswordWithJSPServlet/image/1.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:22:12 -0400] "GET /RememberPasswordWithJSPServlet/eventmetadata.jsp HTTP/1.1" 200 3338
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:22:17 -0400] "GET /RememberPasswordWithJSPServlet/image/1.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:23:21 -0400] "POST /RememberPasswordWithJSPServlet/AccountController HTTP/1.1" 200 894
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:23:21 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:23:21 -0400] "GET /RememberPasswordWithJSPServlet/image/1.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:23:23 -0400] "GET /RememberPasswordWithJSPServlet/eventmetadata.jsp HTTP/1.1" 200 3338
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:23:46 -0400] "GET /RememberPasswordWithJSPServlet/image/1.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:23:49 -0400] "POST /RememberPasswordWithJSPServlet/AccountController HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:23:49 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:23:50 -0400] "GET /RememberPasswordWithJSPServlet/image/1.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:23:51 -0400] "GET /RememberPasswordWithJSPServlet/eventmetadata.jsp HTTP/1.1" 200 3338
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:23:53 -0400] "GET /RememberPasswordWithJSPServlet/image/1.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:24:27 -0400] "POST /RememberPasswordWithJSPServlet/AccountController HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:24:27 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:24:27 -0400] "GET /RememberPasswordWithJSPServlet/image/1.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:24:30 -0400] "GET /RememberPasswordWithJSPServlet/eventmetadata.jsp HTTP/1.1" 200 3338
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:24:35 -0400] "GET /RememberPasswordWithJSPServlet/image/1.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:27:03 -0400] "POST /RememberPasswordWithJSPServlet/AccountController HTTP/1.1" 200 864
